               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10109,            0.023121,            0.041966,           0.0010194,             0.42019,           0.0015087,          0.00034168,            0.077384,            0.017303,            0.039431,            0.070385,           0.0032906,           0.0032906
                   1,            0.082642,            0.018592,            0.032133,           0.0011488,             0.33518,            0.018047,           0.0038606,             0.06624,            0.013781,            0.031753,            0.039729,           0.0059682,           0.0059682
                   2,             0.07013,            0.017349,            0.023892,           0.0015453,             0.38767,            0.052749,            0.017841,            0.061525,            0.012406,            0.030472,           0.0084131,           0.0079857,           0.0079857
                   3,            0.067939,            0.016993,            0.024106,            0.001866,             0.44016,            0.069892,            0.027717,            0.058185,            0.011471,            0.028515,             0.00703,             0.00703,             0.00703
                   4,            0.062099,            0.013804,             0.02026,             0.27216,             0.41075,            0.062577,            0.022853,            0.052843,            0.012191,             0.02751,             0.00703,             0.00703,             0.00703
                   5,            0.056833,            0.014226,            0.019175,           0.0025702,             0.55079,            0.075939,            0.027428,            0.051821,            0.011928,            0.024727,             0.00604,             0.00604,             0.00604
                   6,            0.055162,            0.016328,            0.018752,             0.63219,             0.28507,             0.11253,            0.035879,            0.050464,            0.011678,            0.022653,             0.00505,             0.00505,             0.00505
                   7,            0.053544,            0.015029,            0.017308,             0.79186,             0.12308,            0.090689,            0.022875,            0.052698,            0.010963,            0.024861,             0.00406,             0.00406,             0.00406
                   8,            0.053919,            0.014154,            0.016016,             0.80924,             0.14615,             0.14577,            0.050729,            0.047773,            0.011342,            0.021953,             0.00307,             0.00307,             0.00307
                   9,            0.047566,            0.015488,            0.015463,             0.81942,             0.12692,             0.13779,            0.047713,            0.048265,            0.011215,            0.019643,             0.00208,             0.00208,             0.00208
